0;1692,1634,1627,1046,1691,1664,1693,1633,1684,1630,1694,1675,1628,1662,1655,1674,1661,0,1637,1683,1645,1671,1654,1670;Hello;restart:5,reset:5,reste:5;restart;None
1627;1699,0;Squealing can be caused by various problems. Squeals can be the result of worn belts or in some cases problems with the brakes. Unless you are familiar with automobiles it might be hard to diagnose th;I:3,hear:3,strange:5,squeaks:5,squeals:4,sounds:3,from:3,the:5,front:3,of:4,car:5,back:3,Brakes:3,Belt:3,noises:3,my:2,it:2,makes:1,a:1,noise:1,is:1,dangerous:1,?:1,forom:1;I hear strange squeaks squeals sounds from the front of the car back of the car squeals squeaks Brakes Belt strange noises ;Null
1628;1635,1627;That might be one of the most dangerous problems a car can have brakes naturally wear down over time. Thats why its so important to keep up with their maintenance the trick is to catch the problem l;its:4,chirping:3,about:1,the:1,breaks:1;its chirping ;Null
1629;78,0;Does your car take longer than usual to start? or is it not starting at all? ;My:3,car:5,"wont":3,start:5,Problems:3,Starting:3,the:5,Car:3,Ignition:3,fails:3,Faulty:3,Starter:3,wont:5,my:4;My car wont start Problems Starting the Car Ignition fails Faulty Starter ;Null
1630;1629,0;Symptoms of ignition coil problems often mimic other issues. When ignition coils are going bad your car will be difficult to start. As already stated there are other possible problems that could also ;I:3,was:3,told:3,i:4,have:4,a:4,problem:4,with:4,my:4,ignition:3,coil:3,what:3,does:3,that:3,mean?:3,Ignition:3,Coil:3,clutch:1,longer:1,than:1,usual:1;I was told i have a problem with my ignition coil what does that mean? Ignition Coil ;Null
1631;0;Firstly check that you are indeed using the right key. Secondly try jugging the steering wheel with a little force while applying slight pressure on turnning the key in the correct direction. ;I:3,try:3,to:3,turn:5,the:3,key:4,switch:3,and:3,it:3,wont:3,Switch:3,"wont":3;I try to turn the key switch and it wont turn key Switch wont turn ;Null
1632;0;if you are the driver of a manual transmission that might be the clutch. The clutch is made up of various mechanical parts and if any of them break it will cause your clutch to stop working. This prob;i:3,press:3,the:4,gas:3,padel:3,but:3,car:3,barely:3,moves:3,lossing:3,power:3,it:3,has:3,no:3,power.:3,Clutch:3;i press the gas padel but the car barely moves lossing power it has no power. Clutch ;Null
1633;0;It is simple to diagnose an air conditioning problem. Your air will simply not be cold. The causes are a little less simple. Your problems could be due to a faulty compressor or possibly a Freon leak. If you can roll your windows down until you have time to take your car into a shop.;the:3,airconditioning:3,air:4,"isnt":3,cold:3,is:3,worm.:3,Air:3,Conditioning:3,conditioning:1,problem:1;the airconditioning air isnt cold is worm. Air Conditioning ;Null
1634;0;While many flats and blowouts are due to external forces they can also be attributed to factory defects in the tire itself. Some tread wear is normal over time but excessive tire wear early on is not if your car pulls to one side it might be a good time to go to a mechanic to fix the wheels allignment or replace the worn wheels.;I:3,feel:3,a:3,pull:3,to:4,the:5,right:3,left:3,one:4,of:3,side:4,sides:3,Steering:3,Uneven:3,Tire:3,Wear:3,car:1,stearing:1,pulls:1;I feel a pull to the right left one of the side sides Steering Uneven Tire Wear ;Null
1635;0,1672;check your car manual what the specific light stands for. e.g. engine problem and tell me i will try to help. ;I:3,have:5,a:5,warnning:4,light:5,on.:3,what:3,does:3,it:3,mean?:3,Warning:3,Lights:3,i:2,red:1,in:1,the:1,dashboard:1;I have a warnning light on. what does it mean? Warning Lights ;Null
1636;0;Your vehicle’s brakes are arguably the most important feature on your car so if there’s a warning light flashing on your dash highlighting there’s something wrong with the braking system it’s best to ;Brake:3,system:4,/:3,brake:4,fluid:3,warning:3,light:3,Warning:3,Light:3;Brake system / brake fluid warning light brake system Warning Light ;Null
1637;1635,1637,0,1689;That might mean your engine warmed up too much were you driving uphill or carrying a lot of load? ;ECU:3,/:3,engine:4,warning:3,light:3,Engine:3,Warning:3,Light:3,it:1,says:1,problem:1,yes:2;ECU / engine warning light Engine Warning Light ;Null
1638;1637;Radiator Leaks - Corrosion is the typical culprit when it comes to radiator leaks. However the root cause of corrosion can be anything from poor maintenance to factory defects to contaminated fluid. ;no:3,it:3,was:3,a:3,regular:3,drive:3,downhill:3,nothing:3,special:3;no it was a regular drive downhill nothing special ;Null
1639;0;The invention of the airbag was a major step forward in vehicle occupant safety so if your car’s isn’t working properly get it seen to. A faulty airbag potentially won’t go off in a crash meaning you ;my:3,Airbag:4,warning:4,light:5,has:3,up:3;my Airbag warning light has light up Airbag warning light ;Null
1640;0;If your car’s power steering warning light – often known as the EPAS light – is illuminated it means there could be something wrong with the steering system. If the system fails the steering could go ;the:3,EPAS:4,warnning:3,light:4,has:3,lit:3,up:3,Power:3,steering:3,/:3,warning:3;the EPAS warnning light has lit up Power steering / EPAS warning light ;Null
